scale,format,enforcement_mode,config_hash,rep,violation_rate,bytes_total,bytes_data,bytes_delete,commit_count,data_files,delete_files,compact_time_s,checker_oracle_mismatch,checker_masked_by_compaction,n_checker_masked,status
1,iceberg,unsafe,211dcef9b3a6,1,0.780952380952381,62141,55571,6570,10,10,9,0.0,False,,,ok
1,iceberg,unsafe,211dcef9b3a6,2,0.780952380952381,62141,55571,6570,10,10,9,0.0,False,,,ok
1,iceberg,safe,29ce598f1292,1,0.0,127828,95404,32424,51,50,50,0.0,False,,,ok
1,iceberg,safe,29ce598f1292,2,0.0,127828,95404,32424,51,50,50,0.0,False,,,ok
1,iceberg,safe_compact,a03dd8040e54,1,0.0,9377,8923,454,52,1,1,2.145,False,,,ok
1,iceberg,safe_compact,a03dd8040e54,2,0.0,9364,8910,454,52,1,1,2.152,False,,,ok
1,hudi,unsafe,05ff0ffbf9de,1,0.10634920634920635,456502,453974,2528,2,1,2,0.0,False,,,ok
1,hudi,unsafe,05ff0ffbf9de,2,0.10634920634920635,456502,453974,2528,2,1,2,0.0,False,,,ok
1,hudi,safe,3b7ac995ab53,1,0.0,456525,453997,2528,2,1,2,0.0,False,,,ok
1,hudi,safe,3b7ac995ab53,2,0.0,456524,453996,2528,2,1,2,0.0,False,,,ok
1,hudi,safe_compact,ae373b38bad1,1,0.0,907849,905321,2528,3,2,2,0.0,False,,,ok
1,hudi,safe_compact,ae373b38bad1,2,0.0,907850,905322,2528,3,2,2,0.0,False,,,ok
1,delta,unsafe,ac41b3899880,1,0.044444444444444446,145070,145070,0,68,44,0,0.0,False,,,ok
1,delta,unsafe,ac41b3899880,2,0.044444444444444446,145070,145070,0,68,44,0,0.0,False,,,ok
1,delta,safe,3170b25cb7b0,1,0.0,160400,160400,0,69,44,0,0.0,False,,,ok
1,delta,safe,3170b25cb7b0,2,0.0,160400,160400,0,69,44,0,0.0,False,,,ok
1,delta,safe_compact,0591d90862cb,1,0.0,20447,20447,0,70,1,0,1.077,False,,,ok
1,delta,safe_compact,0591d90862cb,2,0.0,20444,20444,0,70,1,0,1.041,False,,,ok
1,hudi,unsafe_compact,2f9398302ed6,1,0.10634920634920635,907810,905282,2528,3,2,2,0.0,False,,,ok
1,hudi,unsafe_compact,2f9398302ed6,2,0.10634920634920635,907819,905291,2528,3,2,2,0.0,False,,,ok
1,delta,unsafe_compact,fa3a4a5e03d8,1,0.044444444444444446,20398,20398,0,69,1,0,1.163,False,,,ok
1,delta,unsafe_compact,fa3a4a5e03d8,2,0.044444444444444446,20400,20400,0,69,1,0,0.919,False,,,ok
1,iceberg,unsafe_compact,e7bfcefa4de0,1,0.780952380952381,25024,24570,454,11,1,1,1.426,False,True,1,ok
1,iceberg,unsafe_compact,e7bfcefa4de0,2,0.780952380952381,25015,24561,454,11,1,1,1.316,False,True,1,ok
10,iceberg,unsafe,e249373ef99c,1,0.7888095238095238,173477,163368,10109,6,6,5,0.0,False,,,ok
10,iceberg,unsafe,e249373ef99c,2,0.7888095238095238,173477,163368,10109,6,6,5,0.0,False,,,ok
10,iceberg,safe,9cdbc7993c96,1,0.0,238624,195821,42803,29,29,28,0.0,False,,,ok
10,iceberg,safe,9cdbc7993c96,2,0.0,238624,195821,42803,29,29,28,0.0,False,,,ok
10,iceberg,safe_compact,d109ee4f946c,1,0.0,29592,29133,459,30,1,1,1.771,False,,,ok
10,iceberg,safe_compact,d109ee4f946c,2,0.0,29585,29126,459,30,1,1,1.727,False,,,ok
10,hudi,unsafe,f4344449d88e,1,0.03428571428571429,510586,503283,7303,2,1,2,0.0,False,,,ok
10,hudi,unsafe,f4344449d88e,2,0.03428571428571429,510589,503286,7303,2,1,2,0.0,False,,,ok
10,hudi,safe,202cddbaee9b,1,0.0,510596,503293,7303,2,1,2,0.0,False,,,ok
10,hudi,safe,202cddbaee9b,2,0.0,510597,503294,7303,2,1,2,0.0,False,,,ok
10,hudi,safe_compact,e585d240d4fe,1,0.0,1003367,996064,7303,3,2,2,0.0,False,,,ok
10,hudi,safe_compact,e585d240d4fe,2,0.0,1003370,996067,7303,3,2,2,0.0,False,,,ok
10,delta,unsafe,e081b6533224,1,0.03785714285714286,367123,367123,0,53,50,0,0.0,False,,,ok
10,delta,unsafe,e081b6533224,2,0.03785714285714286,367123,367123,0,53,50,0,0.0,False,,,ok
10,delta,safe,d7a705298786,1,0.0,418638,418638,0,53,51,0,0.0,False,,,ok
10,delta,safe,d7a705298786,2,0.0,418638,418638,0,53,51,0,0.0,False,,,ok
10,delta,safe_compact,078efeb18d12,1,0.0,65871,65871,0,54,1,0,0.907,False,,,ok
10,delta,safe_compact,078efeb18d12,2,0.0,65871,65871,0,54,1,0,1.188,False,,,ok
10,hudi,unsafe_compact,30d5bb82160e,1,0.03428571428571429,1003324,996021,7303,3,2,2,0.0,False,,,ok
10,hudi,unsafe_compact,30d5bb82160e,2,0.03428571428571429,1003320,996017,7303,3,2,2,0.0,False,,,ok
10,delta,unsafe_compact,6dfd626589de,1,0.03785714285714286,65595,65595,0,54,1,0,1.079,False,,,ok
10,delta,unsafe_compact,6dfd626589de,2,0.03785714285714286,65595,65595,0,54,1,0,1.305,False,,,ok
10,iceberg,unsafe_compact,8487152a4b40,1,0.7888095238095238,85710,85240,470,7,1,1,1.309,False,True,4,ok
10,iceberg,unsafe_compact,8487152a4b40,2,0.7888095238095238,85720,85250,470,7,1,1,1.272,False,True,4,ok
