scale,format,enforcement_mode,config_hash,repeat,warmup,events,apply_time_s,readback_time_s,events_per_s,checker_oracle_mismatch,status
1,iceberg,unsafe,211dcef9b3a6,0,True,9127,4.819,1.011,1894.0,False,ok
1,iceberg,unsafe,211dcef9b3a6,1,False,9127,3.887,1.067,2348.1,False,ok
1,iceberg,unsafe,211dcef9b3a6,2,False,9127,4.266,1.124,2139.5,False,ok
1,iceberg,unsafe,211dcef9b3a6,3,False,9127,4.039,0.991,2259.7,False,ok
1,iceberg,unsafe,211dcef9b3a6,4,False,9127,4.527,1.045,2016.1,False,ok
1,iceberg,unsafe,211dcef9b3a6,5,False,9127,4.266,1.075,2139.5,False,ok
1,iceberg,unsafe,211dcef9b3a6,6,False,9127,3.946,1.206,2313.0,False,ok
1,iceberg,unsafe,211dcef9b3a6,7,False,9127,4.058,1.089,2249.1,False,ok
1,iceberg,unsafe,211dcef9b3a6,8,False,9127,4.167,1.2,2190.3,False,ok
1,iceberg,unsafe,211dcef9b3a6,9,False,9127,4.044,1.085,2256.9,False,ok
1,iceberg,unsafe,211dcef9b3a6,10,False,9127,4.274,1.218,2135.5,False,ok
1,iceberg,safe,29ce598f1292,0,True,13360,10.093,1.427,1323.7,False,ok
1,iceberg,safe,29ce598f1292,1,False,13360,9.163,1.445,1458.0,False,ok
1,iceberg,safe,29ce598f1292,2,False,13360,9.722,1.411,1374.2,False,ok
1,iceberg,safe,29ce598f1292,3,False,13360,9.611,1.483,1390.1,False,ok
1,iceberg,safe,29ce598f1292,4,False,13360,9.358,1.384,1427.7,False,ok
1,iceberg,safe,29ce598f1292,5,False,13360,9.229,1.411,1447.6,False,ok
1,iceberg,safe,29ce598f1292,6,False,13360,9.737,1.434,1372.1,False,ok
1,iceberg,safe,29ce598f1292,7,False,13360,10.111,1.499,1321.3,False,ok
1,iceberg,safe,29ce598f1292,8,False,13360,9.26,1.441,1442.8,False,ok
1,iceberg,safe,29ce598f1292,9,False,13360,9.053,1.359,1475.8,False,ok
1,iceberg,safe,29ce598f1292,10,False,13360,9.318,1.46,1433.8,False,ok
1,iceberg,safe_compact,a03dd8040e54,0,True,13360,9.13,0.211,1463.3,False,ok
1,iceberg,safe_compact,a03dd8040e54,1,False,13360,9.583,0.234,1394.1,False,ok
1,iceberg,safe_compact,a03dd8040e54,2,False,13360,8.928,0.182,1496.4,False,ok
1,iceberg,safe_compact,a03dd8040e54,3,False,13360,10.124,0.175,1319.6,False,ok
1,iceberg,safe_compact,a03dd8040e54,4,False,13360,9.582,0.207,1394.3,False,ok
1,iceberg,safe_compact,a03dd8040e54,5,False,13360,10.262,0.173,1301.9,False,ok
1,iceberg,safe_compact,a03dd8040e54,6,False,13360,9.138,0.264,1462.0,False,ok
1,iceberg,safe_compact,a03dd8040e54,7,False,13360,9.964,0.311,1340.8,False,ok
1,iceberg,safe_compact,a03dd8040e54,8,False,13360,9.883,0.257,1351.8,False,ok
1,iceberg,safe_compact,a03dd8040e54,9,False,13360,9.567,0.236,1396.5,False,ok
1,iceberg,safe_compact,a03dd8040e54,10,False,13360,9.423,0.27,1417.8,False,ok
1,hudi,unsafe,05ff0ffbf9de,0,True,7407,5.849,0.386,1266.4,False,ok
1,hudi,unsafe,05ff0ffbf9de,1,False,7407,5.307,0.349,1395.7,False,ok
1,hudi,unsafe,05ff0ffbf9de,2,False,7407,5.127,0.327,1444.7,False,ok
1,hudi,unsafe,05ff0ffbf9de,3,False,7407,4.963,0.278,1492.4,False,ok
