id	balance	note	lsn
1	10	init	24321152
2	20	init	24321384
3	30	init	24321520
4	40	init	24321656
5	50	init	24321792
6	60	init	24321928
7	70	init	24322088
8	80	init	24322224
9	90	init	24322360
10	100	init	24322496
11	110	init	24322632
12	120	init	24322768
13	130	init	24322904
14	140	init	24323040
15	150	init	24323176
16	160	init	24323312
17	170	init	24323448
18	180	init	24323584
19	190	init	24323720
20	200	init	24323856
21	210	init	24323992
22	220	init	24324128
23	230	init	24324264
24	240	init	24324400
25	250	init	24324536
26	260	init	24324672
27	270	init	24324808
28	280	init	24324944
29	290	init	24325080
30	300	init	24325216
31	310	init	24325352
32	320	init	24325488
33	330	init	24325624
34	340	init	24325760
35	350	init	24325896
36	360	init	24326032
37	370	init	24326168
38	380	init	24326304
39	390	init	24326440
40	400	init	24326576
41	410	init	24326712
42	420	init	24326848
43	430	init	24326984
44	440	init	24327120
45	450	init	24327256
46	460	init	24327392
47	470	init	24327528
48	480	init	24327664
49	490	init	24327800
50	500	init	24327936
51	510	init	24328072
52	520	init	24328208
53	530	init	24328344
54	540	init	24328480
55	550	init	24328616
56	560	init	24328752
57	570	init	24328888
58	580	init	24329024
59	590	init	24329160
60	600	init	24329296
61	610	init	24329432
62	620	init	24329568
63	630	init	24329704
64	640	init	24329840
65	650	init	24329976
66	660	init	24330112
67	670	init	24330272
68	680	init	24330408
69	690	init	24330544
70	700	init	24330680
71	710	init	24330816
72	720	init	24330952
73	730	init	24331088
74	740	init	24331224
75	750	init	24331360
76	760	init	24331496
77	770	init	24331632
78	780	init	24331768
79	790	init	24331904
80	800	init	24332040
81	810	init	24332176
82	820	init	24332312
83	830	init	24332448
84	840	init	24332584
85	850	init	24332720
86	860	init	24332856
87	870	init	24332992
88	880	init	24333128
89	890	init	24333264
90	900	init	24333400
91	910	init	24333536
92	920	init	24333672
93	930	init	24333808
94	940	init	24333944
95	950	init	24334080
96	960	init	24334216
97	970	init	24334352
98	980	init	24334488
99	990	init	24334624
100	1000	init	24334760
101	1010	init	24334896
102	1020	init	24335032
103	1030	init	24335168
104	1040	init	24335304
105	1050	init	24335440
106	1060	init	24335576
107	1070	init	24335712
108	1080	init	24335848
109	1090	init	24335984
110	1100	init	24336120
111	1110	init	24336256
112	1120	init	24336392
113	1130	init	24336528
114	1140	init	24336664
115	1150	init	24336800
116	1160	init	24336936
117	1170	init	24337072
118	1180	init	24337208
119	1190	init	24337344
120	1200	init	24337480
121	1210	init	24337616
122	1220	init	24337752
123	1230	init	24337888
124	1240	init	24338024
125	1250	init	24338160
126	1260	init	24338296
127	1270	init	24338456
128	1280	init	24338592
129	1290	init	24338728
130	1300	init	24338864
131	1310	init	24339000
132	1320	init	24339136
133	1330	init	24339272
134	1340	init	24339408
135	1350	init	24339544
136	1360	init	24339680
137	1370	init	24339816
138	1380	init	24339952
139	1390	init	24340088
140	1400	init	24340224
141	1410	init	24340360
142	1420	init	24340496
143	1430	init	24340632
144	1440	init	24340768
145	1450	init	24340904
146	1460	init	24341040
147	1470	init	24341176
148	1480	init	24341312
149	1490	init	24341448
150	1500	init	24341584
151	1510	init	24341720
152	1520	init	24341856
153	1530	init	24341992
154	1540	init	24342128
155	1550	init	24342264
156	1560	init	24342400
157	1570	init	24342536
158	1580	init	24342672
159	1590	init	24342808
160	1600	init	24342944
161	1610	init	24343080
162	1620	init	24343216
163	1630	init	24343352
164	1640	init	24343488
165	1650	init	24343624
166	1660	init	24343760
167	1670	init	24343896
168	1680	init	24344032
169	1690	init	24344168
170	1700	init	24344304
171	1710	init	24344440
172	1720	init	24344576
173	1730	init	24344712
174	1740	init	24344848
175	1750	init	24344984
176	1760	init	24345120
177	1770	init	24345256
178	1780	init	24345392
179	1790	init	24345528
180	1800	init	24345664
181	1810	init	24345800
182	1820	init	24345936
183	1830	init	24346072
184	1840	init	24346208
185	1850	init	24346344
186	1860	init	24346480
187	1870	init	24346616
188	1880	init	24346776
189	1890	init	24346912
190	1900	init	24347048
191	1910	init	24347184
192	1920	init	24347320
193	1930	init	24347456
194	1940	init	24347592
195	1950	init	24347728
196	1960	init	24347864
197	1970	init	24348000
198	1980	init	24348136
199	1990	init	24348272
200	2000	init	24348408
7	71	bump1	24348648
14	141	bump1	24348880
21	211	bump1	24349112
28	281	bump1	24349344
35	351	bump1	24349576
42	421	bump1	24349808
49	491	bump1	24350040
56	561	bump1	24350272
63	631	bump1	24350504
70	701	bump1	24350736
77	771	bump1	24350968
84	841	bump1	24351200
91	911	bump1	24351432
98	981	bump1	24351664
105	1051	bump1	24351896
112	1121	bump1	24352128
119	1191	bump1	24352360
126	1261	bump1	24352592
133	1331	bump1	24352824
140	1401	bump1	24353056
147	1471	bump1	24353288
154	1541	bump1	24353520
161	1611	bump1	24353752
168	1681	bump1	24353984
175	1751	bump1	24354216
182	1821	bump1	24354448
189	1891	bump1	24354624
196	1961	bump1	24354728
42	4242	target-v1	24355016
42	9999	target-v2	24355168
