checkpoint	id	balance	note	lsn
1	1	10	init	24321152
1	2	20	init	24321384
1	3	30	init	24321520
1	4	40	init	24321656
1	5	50	init	24321792
1	6	60	init	24321928
1	7	70	init	24322088
1	8	80	init	24322224
1	9	90	init	24322360
1	10	100	init	24322496
1	11	110	init	24322632
1	12	120	init	24322768
1	13	130	init	24322904
1	14	140	init	24323040
1	15	150	init	24323176
1	16	160	init	24323312
1	17	170	init	24323448
1	18	180	init	24323584
1	19	190	init	24323720
1	20	200	init	24323856
1	21	210	init	24323992
1	22	220	init	24324128
1	23	230	init	24324264
1	24	240	init	24324400
1	25	250	init	24324536
1	26	260	init	24324672
1	27	270	init	24324808
1	28	280	init	24324944
1	29	290	init	24325080
1	30	300	init	24325216
1	31	310	init	24325352
1	32	320	init	24325488
1	33	330	init	24325624
1	34	340	init	24325760
1	35	350	init	24325896
1	36	360	init	24326032
1	37	370	init	24326168
1	38	380	init	24326304
1	39	390	init	24326440
1	40	400	init	24326576
1	41	410	init	24326712
1	42	420	init	24326848
1	43	430	init	24326984
1	44	440	init	24327120
1	45	450	init	24327256
1	46	460	init	24327392
1	47	470	init	24327528
1	48	480	init	24327664
1	49	490	init	24327800
1	50	500	init	24327936
1	51	510	init	24328072
1	52	520	init	24328208
1	53	530	init	24328344
1	54	540	init	24328480
1	55	550	init	24328616
1	56	560	init	24328752
1	57	570	init	24328888
1	58	580	init	24329024
1	59	590	init	24329160
1	60	600	init	24329296
1	61	610	init	24329432
1	62	620	init	24329568
1	63	630	init	24329704
1	64	640	init	24329840
1	65	650	init	24329976
1	66	660	init	24330112
1	67	670	init	24330272
1	68	680	init	24330408
1	69	690	init	24330544
1	70	700	init	24330680
1	71	710	init	24330816
1	72	720	init	24330952
1	73	730	init	24331088
1	74	740	init	24331224
1	75	750	init	24331360
1	76	760	init	24331496
1	77	770	init	24331632
1	78	780	init	24331768
1	79	790	init	24331904
1	80	800	init	24332040
1	81	810	init	24332176
1	82	820	init	24332312
1	83	830	init	24332448
1	84	840	init	24332584
1	85	850	init	24332720
1	86	860	init	24332856
1	87	870	init	24332992
1	88	880	init	24333128
1	89	890	init	24333264
1	90	900	init	24333400
1	91	910	init	24333536
1	92	920	init	24333672
1	93	930	init	24333808
1	94	940	init	24333944
1	95	950	init	24334080
1	96	960	init	24334216
1	97	970	init	24334352
1	98	980	init	24334488
1	99	990	init	24334624
1	100	1000	init	24334760
1	101	1010	init	24334896
1	102	1020	init	24335032
1	103	1030	init	24335168
1	104	1040	init	24335304
1	105	1050	init	24335440
1	106	1060	init	24335576
1	107	1070	init	24335712
1	108	1080	init	24335848
1	109	1090	init	24335984
1	110	1100	init	24336120
1	111	1110	init	24336256
1	112	1120	init	24336392
1	113	1130	init	24336528
1	114	1140	init	24336664
1	115	1150	init	24336800
1	116	1160	init	24336936
1	117	1170	init	24337072
1	118	1180	init	24337208
1	119	1190	init	24337344
1	120	1200	init	24337480
1	121	1210	init	24337616
1	122	1220	init	24337752
1	123	1230	init	24337888
1	124	1240	init	24338024
1	125	1250	init	24338160
1	126	1260	init	24338296
1	127	1270	init	24338456
1	128	1280	init	24338592
1	129	1290	init	24338728
1	130	1300	init	24338864
1	131	1310	init	24339000
1	132	1320	init	24339136
1	133	1330	init	24339272
1	134	1340	init	24339408
1	135	1350	init	24339544
1	136	1360	init	24339680
1	137	1370	init	24339816
1	138	1380	init	24339952
1	139	1390	init	24340088
1	140	1400	init	24340224
1	141	1410	init	24340360
1	142	1420	init	24340496
1	143	1430	init	24340632
1	144	1440	init	24340768
1	145	1450	init	24340904
1	146	1460	init	24341040
1	147	1470	init	24341176
1	148	1480	init	24341312
1	149	1490	init	24341448
1	150	1500	init	24341584
1	151	1510	init	24341720
1	152	1520	init	24341856
1	153	1530	init	24341992
1	154	1540	init	24342128
1	155	1550	init	24342264
1	156	1560	init	24342400
1	157	1570	init	24342536
1	158	1580	init	24342672
1	159	1590	init	24342808
1	160	1600	init	24342944
1	161	1610	init	24343080
1	162	1620	init	24343216
1	163	1630	init	24343352
1	164	1640	init	24343488
1	165	1650	init	24343624
1	166	1660	init	24343760
1	167	1670	init	24343896
1	168	1680	init	24344032
1	169	1690	init	24344168
1	170	1700	init	24344304
1	171	1710	init	24344440
1	172	1720	init	24344576
1	173	1730	init	24344712
1	174	1740	init	24344848
1	175	1750	init	24344984
1	176	1760	init	24345120
