key_id,origin,terminal_type,eligible,n_competitive,competitive_lsns,current_lsn,min_positive_gap
1,base,update-tail,1,4,1;2715;5727;6715,6715,988
2,base,update-tail,1,2,2;2061,2061,2059
3,base,update-tail,1,4,3;1625;2120;2537,2537,417
4,base,update-tail,1,2,4;1405,1405,1401
5,base,reinsert-tail,1,12,5;1318;2234;2416;2872;3354;3889;4041;5138;5172;5201;6914,6914,1713
6,base,delete-tail,0,2,6;4203,4203,4197
7,base,update-tail,1,5,7;3037;3459;4492;5968,5968,1476
8,base,update-tail,1,4,8;4193;6014;7332,7332,1318
9,base,update-tail,1,6,9;2311;2980;3815;6006;6860,6860,854
10,base,update-tail,1,10,10;1220;1864;2155;3165;3583;4775;4804;6338;6874,6874,536
11,base,update-tail,1,2,11;4539,4539,4528
12,base,update-tail,1,9,12;1388;1674;2231;2451;5469;5679;6109;6199,6199,90
13,base,update-tail,1,9,13;1270;3051;3473;3518;4314;5204;6210;6385,6385,175
14,base,update-tail,1,9,14;2441;3351;3911;4689;5021;6743;7179;7250,7250,71
15,base,update-tail,1,3,15;4625;6363,6363,1738
16,base,update-tail,1,5,16;1421;1782;1974;7379,7379,5405
17,base,delete-tail,0,4,17;2735;3874;4215,4215,341
18,base,update-tail,1,14,18;1738;1868;1876;2279;3762;3863;4681;5338;5414;5741;6111;6341;6952,6952,611
19,base,update-tail,1,10,19;1753;2031;2764;3560;4067;4213;6126;6132;6627,6627,495
20,base,update-tail,1,3,20;1611;2378,2378,767
21,base,update-tail,1,13,21;1690;1698;2232;2503;2654;3159;4702;4908;4911;6518;6536;6632,6632,96
22,base,update-tail,1,5,22;2248;2520;4610;5211,5211,601
23,base,update-tail,1,6,23;1541;2354;2792;6457;6510,6510,53
24,base,update-tail,1,3,24;1929;6103,6103,4174
25,base,update-tail,1,2,25;2338,2338,2313
26,base,update-tail,1,11,26;2230;2292;2363;2957;3872;4453;4709;5580;6022;6762,6762,740
27,base,update-tail,1,3,27;1273;2544,2544,1271
28,base,update-tail,1,4,28;1891;2546;2942,2942,396
29,base,delete-tail,0,5,29;3004;3870;4371;4473,4473,102
30,base,update-tail,1,8,30;3261;3546;3688;5508;5722;5930;7062,7062,1132
31,base,update-tail,1,2,31;1460,1460,1429
32,base,delete-tail,0,7,32;1746;2696;3428;4243;4953;5710,5710,757
33,base,update-tail,1,10,33;2164;3164;3817;4352;5039;5203;5355;6058;6978,6978,920
34,base,update-tail,1,2,34;2661,2661,2627
35,base,update-tail,1,2,35;6100,6100,6065
36,base,reinsert-tail,1,8,36;1916;2161;3007;3082;5522;5932;6975,6975,1043
37,base,update-tail,1,4,37;3042;5285;6410,6410,1125
38,base,update-tail,1,2,38;3904,3904,3866
39,base,update-tail,1,6,39;2542;2609;6618;6818;7067,7067,249
40,base,update-tail,1,4,40;1319;1645;3930,3930,2285
41,base,update-tail,1,3,41;4840;6041,6041,1201
42,base,update-tail,1,4,42;3020;4583;7186,7186,2603
43,base,update-tail,1,15,43;1788;1924;2457;3183;3274;3922;3995;4091;5078;5111;5412;5771;6271;6615,6615,344
44,base,update-tail,1,2,44;1652,1652,1608
45,base,update-tail,1,19,45;1416;1464;1474;1529;2224;2388;2392;2814;2882;3692;3720;3906;3914;4801;5427;5790;6063;7309,7309,1246
46,base,update-tail,1,13,46;2125;2319;2474;2701;3861;4706;4935;5239;5622;6087;6274;7395,7395,1121
47,base,update-tail,1,3,47;4254;5688,5688,1434
48,base,update-tail,1,3,48;4111;7236,7236,3125
49,base,update-tail,1,8,49;1205;1233;3695;4275;5683;6045;6381,6381,336
50,base,update-tail,1,4,50;2124;3846;6298,6298,2452
51,base,update-tail,1,3,51;2325;4175,4175,1850
52,base,update-tail,1,2,52;6925,6925,6873
53,base,update-tail,1,13,53;1805;1954;3105;3150;3494;4283;5102;5247;5731;5955;6420;6662,6662,242
54,base,delete-tail,0,8,54;2746;3333;3341;4346;5187;6284;6468,6468,184
55,base,update-tail,1,12,55;2396;2635;3415;3467;3875;4745;5359;5787;6300;7254;7268,7268,14
56,base,reinsert-tail,1,6,56;1394;2391;3590;5626;7329,7329,1703
57,base,update-tail,1,3,57;4002;5244,5244,1242
58,base,update-tail,1,6,58;2458;2809;3890;3931;7371,7371,3440
59,base,update-tail,1,4,59;3027;5163;6201,6201,1038
60,base,delete-tail,0,5,60;1898;2420;3626;3721,3721,95
61,base,update-tail,1,6,61;1264;2033;2383;3073;3948,3948,875
62,base,delete-tail,0,9,62;1872;1944;2014;2979;3366;3381;4313;4554,4554,241
63,base,update-tail,1,3,63;1694;2740,2740,1046
64,base,update-tail,1,7,64;2585;2643;3589;5222;6478;6825,6825,347
65,base,reinsert-tail,1,5,65;1669;2831;3263;6858,6858,3595
66,base,update-tail,1,10,66;1213;1281;1581;1785;2939;4145;4581;4980;7063,7063,2083
67,base,delete-tail,0,3,67;2972;3935,3935,963
68,base,update-tail,1,5,68;2545;3032;3665;4550,4550,885
69,base,update-tail,1,4,69;5008;5915;7168,7168,1253
70,base,update-tail,1,2,70;5659,5659,5589
71,base,update-tail,1,2,71;7057,7057,6986
72,base,update-tail,1,2,72;3188,3188,3116
