key_id,lsn,op,z,w_clamped,sigma400_w,sigma1500_w,sigma6000_w,real_delta400,real_delta1500,real_delta6000,original_ts,perturbed_ts400
1,1,r,-1.207742,-1.207742,-483.097,-1811.613,-7246.451,-484,-1812,-7247,1700000000001,1699999999517
1,2715,u,0.412333,0.412333,164.933,618.499,2473.997,164,618,2473,1700000002715,1700000002879
1,5727,u,0.672357,0.672357,268.943,1008.535,4034.141,268,1008,4034,1700000005727,1700000005995
1,6715,u,-0.827022,-0.827022,-330.809,-1240.532,-4962.13,-331,-1241,-4963,1700000006715,1700000006384
2,2,r,-0.671653,-0.671653,-268.661,-1007.48,-4029.921,-269,-1008,-4030,1700000000002,1699999999733
2,2061,u,0.780249,0.780249,312.1,1170.374,4681.495,312,1170,4681,1700000002061,1700000002373
3,3,r,-0.179891,-0.179891,-71.957,-269.837,-1079.348,-72,-270,-1080,1700000000003,1699999999931
3,1625,u,-0.022618,-0.022618,-9.047,-33.926,-135.706,-10,-34,-136,1700000001625,1700000001615
3,2120,u,0.545957,0.545957,218.383,818.935,3275.74,218,818,3275,1700000002120,1700000002338
3,2537,u,-0.09617,-0.09617,-38.468,-144.256,-577.023,-39,-145,-578,1700000002537,1700000002498
4,4,r,1.384702,1.384702,553.881,2077.052,8308.21,553,2077,8308,1700000000004,1700000000557
4,1405,u,-0.537456,-0.537456,-214.982,-806.183,-3224.733,-215,-807,-3225,1700000001405,1700000001190
5,5,r,-0.634691,-0.634691,-253.876,-952.036,-3808.144,-254,-953,-3809,1700000000005,1699999999751
5,1318,u,-2.335373,-2.335373,-934.149,-3503.06,-14012.24,-935,-3504,-14013,1700000001318,1700000000383
5,2234,u,1.446918,1.446918,578.767,2170.377,8681.509,578,2170,8681,1700000002234,1700000002812
5,2416,u,-1.686162,-1.686162,-674.465,-2529.244,-10116.975,-675,-2530,-10117,1700000002416,1700000001741
5,2872,u,1.030616,1.030616,412.246,1545.924,6183.696,412,1545,6183,1700000002872,1700000003284
5,3354,u,-0.019995,-0.019995,-7.998,-29.992,-119.97,-8,-30,-120,1700000003354,1700000003346
5,3889,u,-0.643529,-0.643529,-257.412,-965.294,-3861.177,-258,-966,-3862,1700000003889,1700000003631
5,4041,u,-0.036296,-0.036296,-14.519,-54.445,-217.778,-15,-55,-218,1700000004041,1700000004026
5,5138,u,0.610082,0.610082,244.033,915.122,3660.49,244,915,3660,1700000005138,1700000005382
5,5172,u,-1.362993,-1.362993,-545.197,-2044.49,-8177.959,-546,-2045,-8178,1700000005172,1700000004626
5,5201,u,1.376803,1.376803,550.721,2065.205,8260.82,550,2065,8260,1700000005201,1700000005751
5,6914,c,-0.414284,-0.414284,-165.714,-621.426,-2485.705,-166,-622,-2486,1700000006914,1700000006748
