key_id,m,competitive_ops,tail_op,n_cu_versions,current_op,current_is_cu,current_dup_uniform,current_dup_fired,n_flags_fired,duplicate,verdict
1253,4,cuuu,u,4,u,True,0.614270,False,1,False,MATCH_OR_OTHER
358,9,uuuuuuuud,d,8,d,False,-,False,3,False,MATCH_OR_OTHER
890,6,uuuuuu,u,6,u,True,0.978925,False,1,False,MATCH_OR_OTHER
179,10,uuuuuuuuuu,u,10,u,True,0.259567,True,2,True,DUPLICATE
49,7,uuuuuuu,u,7,u,True,0.556451,False,2,False,MATCH_OR_OTHER
748,6,uuuuuu,u,6,u,True,0.061221,True,3,True,DUPLICATE
1029,9,uuuuuuuuu,u,9,u,True,0.067795,True,4,True,DUPLICATE
301,12,uuuuuuuuuuuu,u,12,u,True,0.428960,False,4,False,MATCH_OR_OTHER
823,14,uuuuuuuuuuuuuu,u,14,u,True,0.198974,True,4,True,DUPLICATE
1072,27,uuuuuuuuuuuuuuuuuuuuuuuuuuu,u,27,u,True,0.239422,True,10,True,DUPLICATE
527,50,uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuudc,c,49,c,True,0.997253,False,16,False,MATCH_OR_OTHER
542,10,uuuuuuuuuu,u,10,u,True,0.942714,False,2,False,MATCH_OR_OTHER
66,9,uuuuuuuuu,u,9,u,True,0.454417,False,1,False,MATCH_OR_OTHER
407,3,uuu,u,3,u,True,0.027828,True,2,True,DUPLICATE
556,8,uuuuuuuu,u,8,u,True,0.364542,False,2,False,MATCH_OR_OTHER
267,7,uuuuuuu,u,7,u,True,0.295212,True,1,True,DUPLICATE
224,13,uuuuuuuuuuuud,d,12,d,False,-,False,1,False,MATCH_OR_OTHER
719,7,uuuuuuu,u,7,u,True,0.424351,False,1,False,MATCH_OR_OTHER
988,10,uuuuuuuudc,c,9,c,True,0.880991,False,3,False,MATCH_OR_OTHER
10,9,uuuuuuuuu,u,9,u,True,0.286516,True,4,True,DUPLICATE
962,2,uu,u,2,u,True,0.792815,False,0,False,MATCH_OR_OTHER
1161,5,uuuud,d,4,d,False,-,False,1,False,MATCH_OR_OTHER
400,5,uuuuu,u,5,u,True,0.882280,False,1,False,MATCH_OR_OTHER
425,5,uuuud,d,4,d,False,-,False,0,False,MATCH_OR_OTHER
567,10,uuuuuuuuuu,u,10,u,True,0.679434,False,4,False,MATCH_OR_OTHER
734,8,uuuuuuuu,u,8,u,True,0.148773,True,3,True,DUPLICATE
623,19,uuuuuuuuuuuuuuuuuuu,u,19,u,True,0.440106,False,6,False,MATCH_OR_OTHER
456,9,uuuuuuuuu,u,9,u,True,0.778407,False,0,False,MATCH_OR_OTHER
836,21,uuuuuuuuuuuuuuuuuuuuu,u,21,u,True,0.019071,True,4,True,DUPLICATE
1006,2,uu,u,2,u,True,0.432865,False,1,False,MATCH_OR_OTHER
599,8,uuuuuuuu,u,8,u,True,0.494204,False,1,False,MATCH_OR_OTHER
563,4,uuuu,u,4,u,True,0.625793,False,2,False,MATCH_OR_OTHER
412,13,uuuuuuuuuuuuu,u,13,u,True,0.206858,True,3,True,DUPLICATE
1124,12,uuuuuuuuuuuu,u,12,u,True,0.629157,False,3,False,MATCH_OR_OTHER
1074,4,uuuu,u,4,u,True,0.220538,True,2,True,DUPLICATE
597,10,uuuuuuuuud,d,9,d,False,-,False,2,False,MATCH_OR_OTHER
383,6,uuuuuu,u,6,u,True,0.326372,False,3,False,MATCH_OR_OTHER
153,10,uuuuuuuuuu,u,10,u,True,0.837908,False,5,False,MATCH_OR_OTHER
1102,3,uuu,u,3,u,True,0.858539,False,0,False,MATCH_OR_OTHER
277,16,uuuuuuuuuuuuuuud,d,15,d,False,-,False,4,False,MATCH_OR_OTHER
1238,8,cuuuuuuu,u,8,u,True,0.827358,False,1,False,MATCH_OR_OTHER
