key_id,m,competitive_lsns,competitive_ops,clean_seqs,final_seqs,n_pairs,fired_pairs,last_pair_uniform,last_pair_fired,tail_op,current_lsn,winner_vidx,winner_seq,winner_lsn,winner_op,present,violated,verdict
1253,4,1201;1969;5703;5709,cuuu,1;2;3;4,2;1;3;4,3,1,0.748678,False,u,5709,3,4,5709,u,1,False,MATCH
358,9,1202;2928;2951;3401;4641;5233;5850;6608;7359,uuuuuuuud,1;2;3;4;5;6;7;8;9,1;2;3;5;4;6;7;8;9,8,4,0.747974,False,d,7359,8,9,7359,d,0,False,MATCH
890,6,1203;1668;1934;3449;5080;5511,uuuuuu,1;2;3;4;5;6,1;3;4;2;5;6,5,2;3,0.815066,False,u,5511,5,6,5511,u,1,False,MATCH
179,10,1204;2439;2796;3742;3908;3951;4093;5569;6418;7037,uuuuuuuuuu,1;2;3;4;5;6;7;8;9;10,2;1;3;4;6;7;8;5;9;10,9,1;5;6;7,0.600692,False,u,7037,9,10,7037,u,1,False,MATCH
49,7,1205;1233;3695;4275;5683;6045;6381,uuuuuuu,1;2;3;4;5;6;7,1;3;2;4;5;7;6,6,2;6,0.227326,True,u,6381,5,7,6045,u,1,True,STALE_WINS
748,6,1206;1432;1461;4637;5154;6964,uuuuuu,1;2;3;4;5;6,1;3;2;5;4;6,5,2;4,0.517285,False,u,6964,5,6,6964,u,1,False,MATCH
1029,9,1207;1290;1815;4786;5747;6161;6995;7125;7322,uuuuuuuuu,1;2;3;4;5;6;7;8;9,1;3;2;4;5;6;7;8;9,8,2,0.619245,False,u,7322,8,9,7322,u,1,False,MATCH
301,12,1208;2592;2987;3049;3676;3790;4427;5517;5885;6176;6747;6755,uuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12,1;2;4;3;5;6;7;8;9;10;11;12,11,3,0.603585,False,u,6755,11,12,6755,u,1,False,MATCH
823,14,1209;1758;2235;3044;3527;4816;4861;5392;6178;6309;6558;6734;6739;6945,uuuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1;2;3;4;5;6;8;7;9;10;11;12;13;14,13,7,0.768895,False,u,6945,13,14,6945,u,1,False,MATCH
1072,27,1210;2065;2148;2470;3055;3110;3457;3524;3541;3747;4152;4208;4428;4947;5072;5075;5121;5193;5780;5816;6120;6137;6334;6539;6689;6800;7232,uuuuuuuuuuuuuuuuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27,1;2;3;5;4;6;7;9;8;10;11;13;14;12;15;16;18;17;20;19;21;23;22;24;25;26;27,26,4;8;12;13;17;19;22,0.604401,False,u,7232,26,27,7232,u,1,False,MATCH
527,50,1211;1235;1513;1762;1809;1897;1901;1904;1949;2071;2110;2168;2437;2460;2647;2931;3593;3981;3996;4008;4204;4238;4261;4460;4506;4600;4808;4869;4880;4889;5022;5143;5209;5258;5423;5450;5531;5637;5675;5847;5856;6053;6166;6183;6335;6450;6983;7006;7119;7152,uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuudc,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,2;1;4;3;5;6;7;9;8;10;11;12;13;14;15;17;16;18;20;19;22;21;23;24;25;26;27;28;29;30;32;31;33;34;35;37;36;38;39;41;40;42;43;44;45;46;47;48;49;50,49,1;3;8;16;19;21;31;36;40,0.419294,False,c,7152,49,50,7152,c,1,False,MATCH
542,10,1212;3733;3982;4183;4207;4414;5294;5378;6780;7076,uuuuuuuuuu,1;2;3;4;5;6;7;8;9;10,1;2;3;4;6;5;7;8;10;9,9,5;9,0.176009,True,u,7076,8,10,6780,u,1,True,STALE_WINS
66,9,1213;1281;1581;1785;2939;4145;4581;4980;7063,uuuuuuuuu,1;2;3;4;5;6;7;8;9,1;2;3;4;5;6;7;9;8,8,8,0.131003,True,u,7063,7,9,4980,u,1,True,STALE_WINS
407,3,1214;4602;4841,uuu,1;2;3,1;2;3,2,-,0.417061,False,u,4841,2,3,4841,u,1,False,MATCH
556,8,1215;2708;3331;3847;5192;5801;5809;6561,uuuuuuuu,1;2;3;4;5;6;7;8,2;3;1;5;6;7;4;8,7,1;2;4;5;6,0.437836,False,u,6561,7,8,6561,u,1,False,MATCH
267,7,1216;1644;2362;2587;3217;5914;6198,uuuuuuu,1;2;3;4;5;6;7,2;1;3;4;6;5;7,6,1;5,0.683899,False,u,6198,6,7,6198,u,1,False,MATCH
224,13,1217;1249;1257;1658;2973;3116;3184;3719;5124;6019;6275;6339;6805,uuuuuuuuuuuud,1;2;3;4;5;6;7;8;9;10;11;12;13,1;2;3;4;5;6;7;9;10;8;11;12;13,12,8;9,0.849177,False,d,6805,12,13,6805,d,0,False,MATCH
719,7,1218;2857;2991;3497;4199;6038;7177,uuuuuuu,1;2;3;4;5;6;7,1;2;4;5;3;6;7,6,3;4,0.613441,False,u,7177,6,7,7177,u,1,False,MATCH
988,10,1219;2283;2623;3544;3609;3711;3712;6095;6415;7229,uuuuuuuudc,1;2;3;4;5;6;7;8;9;10,2;1;3;5;4;6;7;8;9;10,9,1;4,0.973349,False,c,7229,9,10,7229,c,1,False,MATCH
10,9,1220;1864;2155;3165;3583;4775;4804;6338;6874,uuuuuuuuu,1;2;3;4;5;6;7;8;9,1;2;3;4;5;7;6;9;8,8,6;8,0.213827,True,u,6874,7,9,6338,u,1,True,STALE_WINS
962,2,1221;4246,uu,1;2,1;2,1,-,0.776781,False,u,4246,1,2,4246,u,1,False,MATCH
1161,5,1222;1842;2863;5191;6853,uuuud,1;2;3;4;5,2;1;3;4;5,4,1,0.477816,False,d,6853,4,5,6853,d,0,False,MATCH
400,5,1223;1451;4110;6487;7036,uuuuu,1;2;3;4;5,1;2;3;4;5,4,-,0.452336,False,u,7036,4,5,7036,u,1,False,MATCH
