dup_rate,key_id,m,tail_op,n_cu_versions,current_op,eligible,dup_injected_any,n_versions_duplicated,dup_on_current,caused_violation,verdict
0.05,1253,4,u,4,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,358,9,d,8,d,False,True,1,False,False,MATCH_OR_OTHER
0.05,890,6,u,6,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,179,10,u,10,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,49,7,u,7,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,748,6,u,6,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,1029,9,u,9,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,301,12,u,12,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,823,14,u,14,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,1072,27,u,27,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,527,50,c,49,c,True,True,2,False,False,MATCH_OR_OTHER
0.05,542,10,u,10,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,66,9,u,9,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,407,3,u,3,u,True,True,1,True,True,DUPLICATE
0.05,556,8,u,8,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,267,7,u,7,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,224,13,d,12,d,False,True,1,False,False,MATCH_OR_OTHER
0.05,719,7,u,7,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,988,10,c,9,c,True,False,0,False,False,MATCH_OR_OTHER
0.05,10,9,u,9,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,962,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1161,5,d,4,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,400,5,u,5,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,425,5,d,4,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,567,10,u,10,u,True,True,2,False,False,MATCH_OR_OTHER
0.05,734,8,u,8,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,623,19,u,19,u,True,True,2,False,False,MATCH_OR_OTHER
0.05,456,9,u,9,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,836,21,u,21,u,True,True,1,True,True,DUPLICATE
0.05,1006,2,u,2,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,599,8,u,8,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,563,4,u,4,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,412,13,u,13,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1124,12,u,12,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,1074,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,597,10,d,9,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,383,6,u,6,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,153,10,u,10,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1102,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,277,16,d,15,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,1238,8,u,8,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,112,10,d,9,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,1116,6,u,6,u,True,True,2,True,True,DUPLICATE
0.05,880,18,u,18,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,499,6,u,6,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,652,8,u,8,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,1150,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,399,13,u,13,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,671,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,315,9,u,9,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1164,10,u,10,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1236,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,304,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,505,14,d,13,d,False,True,3,False,False,MATCH_OR_OTHER
0.05,370,4,c,3,c,True,False,0,False,False,MATCH_OR_OTHER
0.05,469,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,663,10,u,10,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1181,9,d,8,d,False,True,1,False,False,MATCH_OR_OTHER
0.05,855,3,d,2,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,61,5,u,5,u,True,True,1,True,True,DUPLICATE
0.05,477,9,d,8,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,938,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,82,11,u,11,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,545,10,c,9,c,True,True,1,False,False,MATCH_OR_OTHER
0.05,1257,7,u,7,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,13,8,u,8,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,124,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,722,8,u,8,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,27,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,847,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,195,6,u,6,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,723,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,496,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,714,23,d,22,d,False,False,0,False,False,MATCH_OR_OTHER
