ooo_rate,key_id,m,tail_op,competitive_lsns,competitive_ops,clean_seqs,final_seqs,n_pairs,n_fired,fired_pairs,fired_detail,n_descent,n_invisible,last_pair_fired,winner_lsn,winner_op,current_lsn,violated,verdict
0.25,1253,4,u,1201;1969;5703;5709,cuuu,1;2;3;4,2;1;3;4,3,1,1,1:invisible,0,1,False,5709,u,5709,False,MATCH
0.25,358,9,d,1202;2928;2951;3401;4641;5233;5850;6608;7359,uuuuuuuud,1;2;3;4;5;6;7;8;9,1;2;3;5;4;6;7;8;9,8,1,4,4:invisible,0,1,False,7359,d,7359,False,MATCH
0.25,890,6,u,1203;1668;1934;3449;5080;5511,uuuuuu,1;2;3;4;5;6,1;3;4;2;5;6,5,2,2;3,2:invisible;3:invisible,0,2,False,5511,u,5511,False,MATCH
0.25,179,10,u,1204;2439;2796;3742;3908;3951;4093;5569;6418;7037,uuuuuuuuuu,1;2;3;4;5;6;7;8;9;10,2;1;3;4;6;7;8;5;9;10,9,4,1;5;6;7,1:invisible;5:invisible;6:invisible;7:invisible,0,4,False,7037,u,7037,False,MATCH
0.25,49,7,u,1205;1233;3695;4275;5683;6045;6381,uuuuuuu,1;2;3;4;5;6;7,1;3;2;4;5;7;6,6,2,2;6,2:invisible;6:descent,1,1,True,6045,u,6381,True,STALE_WINS
0.25,748,6,u,1206;1432;1461;4637;5154;6964,uuuuuu,1;2;3;4;5;6,1;3;2;5;4;6,5,2,2;4,2:invisible;4:invisible,0,2,False,6964,u,6964,False,MATCH
0.25,1029,9,u,1207;1290;1815;4786;5747;6161;6995;7125;7322,uuuuuuuuu,1;2;3;4;5;6;7;8;9,1;3;2;4;5;6;7;8;9,8,1,2,2:invisible,0,1,False,7322,u,7322,False,MATCH
0.25,301,12,u,1208;2592;2987;3049;3676;3790;4427;5517;5885;6176;6747;6755,uuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12,1;2;4;3;5;6;7;8;9;10;11;12,11,1,3,3:invisible,0,1,False,6755,u,6755,False,MATCH
0.25,823,14,u,1209;1758;2235;3044;3527;4816;4861;5392;6178;6309;6558;6734;6739;6945,uuuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1;2;3;4;5;6;8;7;9;10;11;12;13;14,13,1,7,7:invisible,0,1,False,6945,u,6945,False,MATCH
0.25,1072,27,u,1210;2065;2148;2470;3055;3110;3457;3524;3541;3747;4152;4208;4428;4947;5072;5075;5121;5193;5780;5816;6120;6137;6334;6539;6689;6800;7232,uuuuuuuuuuuuuuuuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27,1;2;3;5;4;6;7;9;8;10;11;13;14;12;15;16;18;17;20;19;21;23;22;24;25;26;27,26,7,4;8;12;13;17;19;22,4:invisible;8:invisible;12:invisible;13:invisible;17:invisible;19:invisible;22:invisible,0,7,False,7232,u,7232,False,MATCH
0.25,527,50,c,1211;1235;1513;1762;1809;1897;1901;1904;1949;2071;2110;2168;2437;2460;2647;2931;3593;3981;3996;4008;4204;4238;4261;4460;4506;4600;4808;4869;4880;4889;5022;5143;5209;5258;5423;5450;5531;5637;5675;5847;5856;6053;6166;6183;6335;6450;6983;7006;7119;7152,uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuudc,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,2;1;4;3;5;6;7;9;8;10;11;12;13;14;15;17;16;18;20;19;22;21;23;24;25;26;27;28;29;30;32;31;33;34;35;37;36;38;39;41;40;42;43;44;45;46;47;48;49;50,49,9,1;3;8;16;19;21;31;36;40,1:invisible;3:invisible;8:invisible;16:invisible;19:invisible;21:invisible;31:invisible;36:invisible;40:invisible,0,9,False,7152,c,7152,False,MATCH
0.25,542,10,u,1212;3733;3982;4183;4207;4414;5294;5378;6780;7076,uuuuuuuuuu,1;2;3;4;5;6;7;8;9;10,1;2;3;4;6;5;7;8;10;9,9,2,5;9,5:invisible;9:descent,1,1,True,6780,u,7076,True,STALE_WINS
0.25,66,9,u,1213;1281;1581;1785;2939;4145;4581;4980;7063,uuuuuuuuu,1;2;3;4;5;6;7;8;9,1;2;3;4;5;6;7;9;8,8,1,8,8:descent,1,0,True,4980,u,7063,True,STALE_WINS
0.25,407,3,u,1214;4602;4841,uuu,1;2;3,1;2;3,2,0,-,-,0,0,False,4841,u,4841,False,MATCH
0.25,556,8,u,1215;2708;3331;3847;5192;5801;5809;6561,uuuuuuuu,1;2;3;4;5;6;7;8,2;3;1;5;6;7;4;8,7,5,1;2;4;5;6,1:invisible;2:invisible;4:invisible;5:invisible;6:invisible,0,5,False,6561,u,6561,False,MATCH
0.25,267,7,u,1216;1644;2362;2587;3217;5914;6198,uuuuuuu,1;2;3;4;5;6;7,2;1;3;4;6;5;7,6,2,1;5,1:invisible;5:invisible,0,2,False,6198,u,6198,False,MATCH
