config.base_keys,config.base_ts_ms,config.checkpoint_events,config.clock_skew_ms,config.config_hash,config.dup_rate,config.enforcement_mode,config.format,config.insert_rate,config.keep_tables,config.key_columns,config.keys_sampled,config.max_events,config.ooo_rate,config.ooo_window,config.op_mix,config.payload_columns,config.precombine_field,config.scale_factor,config.schema_change_freq,config.seed,config.ts_step_ms,config.version_column,config.versions_per_key_mean,correctness.checker_oracle_mismatch,correctness.n_agree,correctness.n_checker_abstain,correctness.n_correctly_absent,correctness.n_delete_tail_blind,correctness.n_duplicate,correctness.n_ghost,correctness.n_keys,correctness.n_match,correctness.n_missing_current,correctness.n_stale_wins,correctness.n_violations,correctness.violation_rate,cost.apply_time_s,cost.bytes_data,cost.bytes_delete,cost.bytes_total,cost.commit_count,cost.data_files,cost.delete_files,cost.events,cost.events_per_s,cost.gen_time_s,cost.mb_per_s,cost.peak_rss_mb,cost.readback_time_s,error,status
1200,1700000000000,50000,0.0,347ffb15a576,0.0,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,10.233,95404,32424,127828,51,50,50,13360,1305.6,0.453,0.012,40.5,1.421,,ok
1200,1700000000000,50000,0.0,3e9ff7b08500,0.0,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,5.036,453965,2528,456493,2,1,2,7407,1470.8,0.459,0.091,48.6,0.292,,ok
1200,1700000000000,50000,0.0,f5ecf500d88a,0.0,unsafe,delta,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,0,0,0,0,0,0,1260,1260,0,0,0,0.0,99.122,160794,0,160794,69,44,0,7407,74.7,0.485,0.002,29.4,1.097,,ok
1200,1700000000000,50000,0,b1ff3231ad8e,0.0,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,5.327,453961,2528,456489,2,1,2,7407,1390.5,0.449,0.086,47.4,0.292,,ok
1200,1700000000000,50000,400,46ce6b9aaf53,0.0,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1126,0,134,134,0.10634920634920635,4.677,453970,2528,456498,2,1,2,7407,1583.7,0.535,0.098,49.2,0.283,,ok
1200,1700000000000,50000,1500,52785da91046,0.0,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,869,0,391,391,0.3103174603174603,4.656,454144,2528,456672,2,1,2,7407,1590.9,0.455,0.098,52.1,0.285,,ok
1200,1700000000000,50000,6000,badff6a6367e,0.0,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,585,0,675,675,0.5357142857142857,5.125,454416,2528,456944,2,1,2,7407,1445.3,0.459,0.089,51.7,0.31,,ok
1200,1700000000000,50000,0,a13eb5f48c0e,0.0,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,9.152,95404,32424,127828,51,50,50,13360,1459.8,0.448,0.014,47.0,1.34,,ok
1200,1700000000000,50000,0,bacffa93d5fc,0.0,unsafe,delta,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,0,0,0,0,0,0,1260,1260,0,0,0,0.0,91.179,160794,0,160794,69,44,0,7407,81.2,0.45,0.002,29.5,1.004,,ok
1200,1700000000000,50000,6000,7261d9e0089e,0.0,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,9.135,95404,32424,127828,51,50,50,13360,1462.5,0.447,0.014,47.6,1.358,,ok
1200,1700000000000,50000,6000,f314116e69ba,0.0,unsafe,delta,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,0,0,0,0,0,0,1260,1260,0,0,0,0.0,91.89,162382,0,162382,69,44,0,7407,80.6,0.442,0.002,29.2,0.92,,ok
1200,1700000000000,50000,0.0,14871b1f8740,0.0,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,178,7,0,7,1260,1212,2,39,48,0.0380952380952381,9.717,95952,32424,128376,51,50,50,13360,1374.9,0.468,0.013,42.0,1.365,,ok
1200,1700000000000,50000,0.0,2bf19920e6af,0.0,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.1,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,165,20,0,20,1260,1147,6,87,113,0.08968253968253968,9.466,96399,32424,128823,51,50,50,13360,1411.4,0.451,0.014,47.7,1.495,,ok
1200,1700000000000,50000,0.0,5e8b9932b83a,0.0,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.25,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,135,50,0,50,1260,988,16,206,272,0.21587301587301588,10.058,97243,32424,129667,51,50,50,13360,1328.3,0.446,0.013,47.8,1.409,,ok
1200,1700000000000,50000,0.0,52463f980f5a,0.0,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.5,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,97,88,0,88,1260,727,40,405,533,0.423015873015873,9.576,98150,32424,130574,51,50,50,13360,1395.2,0.486,0.014,48.3,1.422,,ok
1200,1700000000000,50000,0.0,c9788c394316,0.0,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.5,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,5.017,453967,2528,456495,2,1,2,7407,1476.4,0.434,0.091,51.8,0.31,,ok
